Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 31.40      0.43     0.43  6284178     0.00     0.00  Position::GetPossiblePieces(int, int) const
  8.03      0.54     0.11 43304754     0.00     0.00  std::bitset<7ul>::_Unchecked_set(unsigned long, int)
  7.30      0.64     0.10 39702564     0.00     0.00  Position::at(int, int)
  6.57      0.73     0.09   332164     0.00     0.00  Position::FillForcedPieces(int, int)
  5.84      0.81     0.08 58482184     0.00     0.00  Position::at(int, int) const
  5.11      0.88     0.07   332164     0.00     0.00  __gnu_cxx::__enable_if<!std::__is_scalar<Piece>::__value, void>::__type std::__fill_a<Piece*, Piece>(Piece*, Piece*, Piece const&)
  3.65      0.93     0.05 53581498     0.00     0.00  std::bitset<7ul>::_M_check(unsigned long, char const*) const
  2.92      0.97     0.04 49588932     0.00     0.00  std::_Base_bitset<1ul>::_M_getword(unsigned long)
  2.92      1.01     0.04 43304754     0.00     0.00  std::bitset<7ul>::set(unsigned long, bool)
  2.92      1.05     0.04  1037655     0.00     0.00  Position::TraceVictoryLineOrLoop(int, int, bool)
  2.92      1.09     0.04   332164     0.00     0.00  void std::fill<Piece*, Piece>(Piece*, Piece*, Piece const&)
  2.56      1.13     0.04 53581498     0.00     0.00  std::_Base_bitset<1ul>::_S_maskbit(unsigned long)
  2.19      1.16     0.03  3992566     0.00     0.00  std::bitset<7ul>::_Unchecked_test(unsigned long) const
  2.19      1.19     0.03   332164     0.00     0.00  Position::DoMove(Move, Position*) const
  1.83      1.21     0.03 53581498     0.00     0.00  std::_Base_bitset<1ul>::_S_whichbit(unsigned long)
  1.46      1.23     0.02 18371834     0.00     0.00  std::_Base_bitset<1ul>::_M_do_count() const
  1.46      1.25     0.02  3992566     0.00     0.00  std::_Base_bitset<1ul>::_M_getword(unsigned long) const
  1.46      1.27     0.02                             operator delete(void*, void*)
  1.10      1.29     0.02 18371834     0.00     0.00  std::bitset<7ul>::count() const
  0.73      1.30     0.01  8483776     0.00     0.00  int const& std::min<int>(int const&, int const&)
  0.73      1.31     0.01   765915     0.00     0.00  operator new(unsigned long, void*)
  0.73      1.32     0.01   433348     0.00     0.00  void std::_Construct<Move, Move>(Move*, Move&&)
  0.73      1.33     0.01   332150     0.00     0.00  __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::operator*() const
  0.73      1.34     0.01    50396     0.00     0.00  Move* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Move*>, Move*>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*)
  0.73      1.35     0.01        2     0.01     0.01  void std::vector<Move, std::allocator<Move> >::emplace_back<char const (&) [4], Position const&>(char const (&) [4], Position const&)
  0.73      1.36     0.01        2     0.01     0.01  void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<char const (&) [4], Position const&>(char const (&) [4], Position const&)
  0.37      1.36     0.01  6284178     0.00     0.00  std::bitset<7ul>::reset(unsigned long)
  0.37      1.37     0.01  3992566     0.00     0.00  std::bitset<7ul>::test(unsigned long) const
  0.37      1.37     0.01       42     0.00     0.00  std::remove_reference<Piece*&>::type&& std::move<Piece*&>(Piece*&)
  0.00      1.37     0.00  6284178     0.00     0.00  std::bitset<7ul>::_Unchecked_reset(unsigned long)
  0.00      1.37     0.00  2093586     0.00     0.00  int& std::forward<int&>(std::remove_reference<int&>::type&)
  0.00      1.37     0.00  1046793     0.00     0.00  Piece&& std::forward<Piece>(std::remove_reference<Piece>::type&)
  0.00      1.37     0.00   967488     0.00     0.00  std::move_iterator<Move*>::base() const
  0.00      1.37     0.00   678938     0.00     0.00  __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::base() const
  0.00      1.37     0.00   664328     0.00     0.00  Piece* std::__niter_base<Piece*>(Piece*)
  0.00      1.37     0.00   532426     0.00     0.00  Position::FillWinnerFlags(int, int)
  0.00      1.37     0.00   483744     0.00     0.00  bool std::operator==<Move*>(std::move_iterator<Move*> const&, std::move_iterator<Move*> const&)
  0.00      1.37     0.00   483744     0.00     0.00  bool std::operator!=<Move*>(std::move_iterator<Move*> const&, std::move_iterator<Move*> const&)
  0.00      1.37     0.00   433348     0.00     0.00  std::move_iterator<Move*>::operator*() const
  0.00      1.37     0.00   433348     0.00     0.00  std::move_iterator<Move*>::operator++()
  0.00      1.37     0.00   433348     0.00     0.00  Move* std::__addressof<Move>(Move&)
  0.00      1.37     0.00   433348     0.00     0.00  Move&& std::forward<Move>(std::remove_reference<Move>::type&)
