step,winner,endpoint_factor,edge_factor
0,-1,0,0
1,-1,-0.283333,-0.211111
2,-1,-0.666667,-0.419444
3,-1,-0.357143,-0.208333
4,-1,-0.857143,-0.416667
5,-1,-0.047619,0
6,-1,-0.3,-0.265079
7,-1,-0.0678571,0.0126984
8,-1,-0.566667,-0.191667
9,-1,-0.733333,-0.425
10,-1,-0.983333,-0.402778
11,-1,-0.566667,-0.191667
12,-1,-0.4,0.0416667
13,-1,-0.15,0.0388889
14,-1,-0.631746,0.113889
15,-1,-0.357937,-0.213889
0,1,0,0
1,1,-0.233333,-0.207143
2,1,0.333333,0.47619
3,1,0.925,0.684524
4,1,0.541667,0.486111
5,1,1.05159,0.709921
6,1,0.236111,0.287302
7,1,0.05,0.112302
8,1,-0.116667,0.137302
9,1,0.283333,0.348413
10,1,-0.688889,-0.368254
11,1,0.519444,0.277778
12,1,0.232143,0.0694444
13,1,0.273052,0.0765873
14,1,0.0885281,0.177778
15,1,0.652381,0.541667
16,1,-0.264286,0.153968
0,-1,0,0
1,-1,-0.233333,-0.207143
2,-1,-0.47619,-0.418254
3,-1,-0.217857,-0.20119
4,-1,-0.717857,-0.409524
5,-1,-0.17619,-0.185714
6,-1,-0.575758,0.138889
7,-1,-0.4329,0.145635
8,-1,-0.29798,0.378968
9,-1,-0.117424,0.381746
10,-1,-0.63141,0.234524
0,1,0,0
1,1,-0.233333,-0.207143
2,1,-0.47619,-0.418254
3,1,-0.217857,-0.20119
4,1,-0.72381,-0.415476
5,1,-0.188889,-0.191667
6,1,-0.4329,0.145635
7,1,0.743687,0.791667
8,1,0.752778,0.470635
9,1,-0.297222,-0.120635
10,1,0.0436869,0.115476
11,1,0.585354,0.284921
12,1,0.335354,0.307143
13,1,0.40083,0.322619
14,1,-0.79596,-0.323413
15,1,-0.937626,-0.617857
16,1,-1.0952,-0.587698
0,-1,0,0
1,-1,-0.283333,-0.211111
2,-1,0,0
3,-1,-0.283333,-0.211111
4,-1,-0.691667,-0.415476
5,-1,0,0
6,-1,-0.383333,-0.204365
7,-1,-0.0888889,0.0666667
8,-1,-0.404365,-0.169444
9,-1,-0.230556,-0.20119
10,-1,-1.25833,-0.85
11,-1,-0.05,-0.203968
12,-1,-0.525,-0.412302
13,-1,-5.55112e-17,-0.203968
14,-1,-0.483333,-0.408333
15,-1,0.120238,-0.2
16,-1,0.275,0.0333333
17,-1,0.571732,0.00952381
18,-1,0.188399,0.166667
19,-1,0.858333,0.52381
0,1,0,0
1,1,0.283333,0.211111
2,1,-0.216667,0.00277778
3,1,-0.116667,-0.261111
4,1,-0.533333,-0.472222
5,1,0.233333,-0.320635
6,1,0.266667,-0.0555556
7,1,0.766667,0.151587
8,1,0.133333,-0.0527778
9,1,0.466667,-0.0789683
10,1,-0.741667,-0.725
0,-1,0,0
1,-1,-0.233333,-0.207143
2,-1,0.05,0.00396825
3,-1,-0.217857,-0.20119
4,-1,-0.717857,-0.409524
5,-1,-0.259524,-0.20119
6,-1,-0.52619,-0.412302
7,-1,0.0154762,-0.188492
8,-1,-0.255556,0.386111
9,-1,0.474242,0.572222
0,1,0,0
1,1,0.5,0.208333
2,1,0,0
3,1,0.458333,0.208333
4,1,0.311111,0.50119
5,1,0.694444,0.721032
6,1,-0.266667,0.0555556
7,1,0.22381,0.263889
8,1,-0.266667,0.0555556
9,1,0.17619,0.263889
10,1,0.0428571,0.308333
11,1,0.717857,0.516667
12,1,1.20195,1.26667
13,1,1.46861,1.24444
14,1,0.413059,0.644444
15,1,0.746392,0.6
16,1,-0.403608,-0.112698
0,-1,0,0
1,-1,-0.283333,-0.211111
2,-1,-0.666667,-0.444444
3,-1,0.440476,0.204365
4,-1,0.533333,0.472222
5,-1,0.5,0.207143
6,-1,-0.841667,-0.406746
7,-1,-0.958333,-0.667857
8,-1,-1.375,-0.878968
9,-1,-0.555556,-0.446825
10,-1,-0.331746,-0.245635
11,-1,0.540909,0.476587
12,-1,-0.268615,0.0539683
13,-1,0,0.367857
14,-1,0.0214286,0.628968
15,-1,0.271429,0.603968
16,-1,-0.279167,0.434524
17,-1,-0.0291667,0.412302
18,-1,-1.14167,0.109524
19,-1,-0.225,0.267857
0,1,0,0
1,1,-0.233333,-0.207143
2,1,0,0
3,1,-0.182143,-0.20119
4,1,-0.47619,-0.412302
5,1,0.0555556,-0.203968
6,1,0.45,-0.286905
7,1,0.365476,-0.520238
8,1,0.115476,-0.524206
9,1,0.632143,-0.348016
10,1,0.290476,-0.561905
11,1,0.564744,-0.666667
12,1,0.239744,-0.880556
0,-1,0,0
1,-1,0.5,0.208333
2,-1,0,0
3,-1,0.458333,0.208333
4,-1,5.55112e-17,0
5,-1,0.483333,0.208333
6,-1,0.0472222,0
7,-1,0.658333,0.465476
8,-1,0.158333,0.258333
9,-1,0.791667,0.462698
10,-1,0.458333,0.491667
11,-1,1.125,0.677778
0,1,0,0
1,1,-0.233333,-0.207143
2,1,-0.47619,-0.418254
3,1,0.0238095,-0.209921
4,1,-0.47619,-0.418254
5,1,-0.670635,-0.651587
6,1,-0.32619,-0.443254
7,1,0.284921,-0.280556
8,1,0.0944444,-0.280556
9,1,0.594444,-0.104365
0,-1,0,0
1,-1,-0.233333,-0.207143
2,-1,-0.47619,-0.418254
3,-1,0.416667,0.237302
4,-1,-0.791667,-0.40873
5,-1,0.344444,0.240079
6,-1,-0.641667,-0.425397
7,-1,0.183333,-0.330556
8,-1,-0.334066,-0.571032
9,-1,0.574267,-0.190476
10,-1,-0.757875,-0.814286
11,-1,0.435379,-0.168254
12,-1,-0.0829365,-0.442063
13,-1,0.865837,0.282937
14,-1,0.629823,0.0706349
0,-1,0,0
1,-1,0.283333,0.211111
2,-1,-0.216667,0.00277778
3,-1,0.241667,0.211111
4,-1,-0.175,0.00952381
5,-1,0.334921,0.22381
6,-1,-0.171032,0.00952381
7,-1,0.251623,0.217857
8,-1,0.342857,-0.0944444
9,-1,0.699267,0.113889
10,-1,-0.100733,-0.302778
11,-1,-0.140476,-0.318254
12,-1,-0.408333,-0.529365
13,-1,0.163095,-0.0849206
14,-1,-0.421429,-0.523413
15,-1,-0.410256,-0.555556
16,-1,-1.60833,-1.20159
17,-1,-0.788889,-0.778968
18,-1,-0.365079,-0.560714
19,-1,0.35132,0.292063
20,-1,-0.0307869,0.380556
21,-1,1.31237,0.939322
22,-1,1.32824,0.738131
23,-1,1.35956,1.20639
0,-1,0,0
1,-1,-0.233333,-0.207143
2,-1,-0.47619,-0.418254
3,-1,-0.652381,-0.619444
4,-1,-0.920635,-0.865476
5,-1,-0.637302,-0.654365
6,-1,-0.30202,-0.443254
7,-1,0.0813131,-0.234921
8,-1,0.308358,-0.0015873
9,-1,0.739011,0.222222
10,-1,-0.315476,0.0515873
0,1,0,0
1,1,0.5,0.208333
2,1,0,0
3,1,0.458333,0.208333
4,1,0.0472222,0
5,1,0.537698,0.208333
6,1,0.0277778,0
7,1,0.481313,0.208333
8,1,0.296789,-0.0357143
9,1,0.769109,0.168651
0,1,0,0
1,1,0.5,0.208333
2,1,0,0
3,1,0.458333,0.208333
4,1,0.0194444,0
5,1,0.462302,0.208333
6,1,-0.323413,-0.503968
7,1,-0.0186147,-0.270635
8,1,-0.515934,-0.478968
9,1,-0.315934,-0.505159
10,1,-0.812363,-0.72619
11,1,-0.237363,-0.565079
0,-1,0,0
1,-1,-0.233333,-0.207143
2,-1,-0.47619,-0.418254
3,-1,0.0238095,-0.209921
4,-1,-0.434524,-0.418254
5,-1,-0.0261905,-0.220635
6,-1,-0.503968,-0.42619
7,-1,-0.0134921,-0.217857
8,-1,-0.344877,-0.42619
9,-1,-0.027356,-0.215079
10,-1,-0.344023,-0.45119
11,-1,0.0833944,-0.230556
12,-1,0.42193,-0.0194444
13,-1,0.748587,0.188889
14,-1,0.296825,0.134524
15,-1,0.430754,0.367857
16,-1,1.04603,0.57619
17,-1,0.531313,0.335714
18,-1,1.058,0.55
19,-1,0.541331,0.341667
20,-1,0.741331,0.243254
21,-1,0.434921,0.224603
22,-1,-0.361111,-0.488131
23,-1,-0.420635,-0.502092
24,-1,0.0515873,-0.444084
25,-1,-0.198413,-0.42987
26,-1,0.0118437,-0.444192
0,1,0,0
1,1,0.5,0.208333
2,1,0,0
3,1,0.458333,0.208333
4,1,-5.55112e-17,0
5,1,0.483333,0.208333
6,1,0.0472222,0
7,1,-0.410354,-0.212302
8,1,-0.391667,-0.212302
9,1,0.0988095,-0.00396825
10,1,-0.391667,-0.212302
11,1,0.465909,0.509921
12,1,0.220238,-0.0357143
13,1,1.07083,0.680556
14,1,0.410256,0.838492
15,1,0.326923,0.570238
16,1,-0.348077,0.361905
17,1,0.491667,0.778571
18,1,1.04722,1.1369
19,1,1.15076,0.846825
20,1,1.20833,0.816667
21,1,1.58141,1.02027
0,1,0,0
1,1,0.283333,0.211111
2,1,0,0
3,1,0.505952,0.214286
4,1,-0.387302,-0.47619
5,1,-0.0595238,-0.223413
6,1,-0.565476,-0.437698
7,1,-0.093254,-0.207143
8,1,-0.538553,0.142857
9,1,-0.288553,0.155556
10,1,-0.183333,-0.246032
11,1,0.657143,0.151587
0,-1,0,0
1,-1,-0.233333,-0.207143
2,-1,-0.47619,-0.418254
3,-1,-0.192857,-0.207143
4,-1,-0.692857,-0.415476
5,-1,-0.234524,-0.207143
6,-1,-0.548413,-0.214286
7,-1,-0.0484127,-0.00595238
8,-1,-0.166667,-0.296825
9,-1,0.691667,0.409524
10,-1,-0.35641,-0.25
11,-1,0.841667,0.396032
12,-1,-0.341667,-0.25
13,-1,0.15,-0.0416667
14,-1,-0.354762,-0.234921
15,-1,-0.0403828,-0.0349206
16,-1,-0.546575,-0.234921
17,-1,0.236759,0.149603
18,-1,-0.971575,-0.469841
19,-1,-1.20754,-0.334921
20,-1,-1.35635,-0.314719
0,1,0,0
1,1,0.5,0.208333
2,1,0,0
3,1,0.458333,0.208333
4,1,5.55112e-17,0
5,1,0.525,0.208333
6,1,0.0694444,0
7,1,0.391667,0.204365
8,1,-0.108333,-0.00396825
9,1,-0.0519231,-0.00396825
10,1,0.0202991,0.00396825
11,1,0.784091,0.431746
0,-1,0,0
1,-1,-0.233333,-0.207143
2,-1,-0.47619,-0.418254
3,-1,-0.217857,-0.20119
4,-1,-0.717857,-0.409524
5,-1,0,0
6,-1,0.188889,0.191667
7,-1,0.476587,0.425
8,-1,-0.0436147,0.216667
9,-1,0.115476,0.188889
10,-1,-0.831746,-0.501587
11,-1,-0.702381,-0.507143
12,-1,-1.0746,-0.711508
13,-1,-0.809524,-0.42381
14,-1,-1.76667,-1.14603
0,-1,0,0
1,-1,-0.5,-0.208333
2,-1,-1,-0.412698
3,-1,-0.408333,-0.204365
4,-1,-0.634524,-0.415476
5,-1,-0.533333,-0.447222
6,-1,-0.109524,-0.228968
7,-1,0.390476,-0.0218254
8,-1,0.0809524,-0.235714
9,-1,-0.659524,-0.657937
10,-1,-0.892857,-0.337302
0,-1,0,0
1,-1,0.283333,0.211111
2,-1,-0.216667,0.00277778
3,-1,0.166667,0.211111
4,-1,-0.190476,0
5,-1,0.619048,0.416667
6,-1,0.128968,0.208333
7,-1,-0.288889,0.0543651
8,-1,-0.608333,-0.156746
9,-1,-0.534091,-0.137302
10,-1,-1.14286,-0.952381
11,-1,-0.32619,-0.581349
12,-1,-0.798413,-0.788492
13,-1,0.261111,-0.161111
14,-1,0.0111111,-0.0944444
0,-1,0,0
1,-1,0.283333,0.211111
2,-1,-0.666667,-0.444444
3,-1,0.440476,0.204365
4,-1,0.031746,-0.00396825
5,-1,0.283333,0.207143
6,-1,-0.904798,-0.438889
7,-1,-1.43056,-0.651984
8,-1,-1.76389,-0.594841
0,-1,0,0
1,-1,-0.233333,-0.207143
2,-1,-0.47619,-0.418254
3,-1,-0.217857,-0.20119
4,-1,-0.72381,-0.415476
5,-1,-0.188889,-0.191667
6,-1,-1.10159,-0.891667
7,-1,-0.751587,-0.612698
8,-1,-1.26825,-0.821032
9,-1,-0.787734,-0.557143
10,-1,-1.0044,-0.544444
11,-1,-0.386147,-0.336111
12,-1,-0.282973,-0.811111
13,-1,-0.282118,-1.10397
14,-1,-0.326623,-1.16667
15,-1,0.182305,-0.928211
16,-1,-1.13615,-1.52543
17,-1,-1.47381,-1.45162
18,-1,-1.98095,-1.59033
19,-1,-0.979365,-0.965054
20,-1,-1.5373,-0.873388
21,-1,-0.200361,-0.317832
22,-1,-0.89917,-0.207479
23,-1,0.432973,0.359946
0,1,0,0
1,1,-0.233333,-0.207143
2,1,-0.47619,-0.418254
3,1,-0.217857,-0.20119
4,1,-0.72381,-0.415476
5,1,-0.188889,-0.191667
6,1,-1.10159,-0.891667
7,1,-0.751587,-0.612698
8,1,-0.907143,-0.597222
9,1,-0.282143,-0.355556
10,1,-0.49881,-0.336111
11,1,0.611111,0.319444
12,1,-0.00833333,-0.615476
