step,winner,endpoint_factor,edge_factor
0,-1,0,0
1,-1,-3,-17
2,-1,-4,-34
3,-1,-1,-17
4,-1,0,-34
5,-1,2,0
6,-1,-3,-13
7,-1,2,0
8,-1,5,-17
9,-1,2,-32
10,-1,4,-34
11,-1,5,-17
12,-1,8,-2
13,-1,6,0
14,-1,8,-6
15,-1,-1,-15
0,1,0,0
1,1,-3,-17
2,1,8,30
3,1,9,47
4,1,8,30
5,1,7,47
6,1,5,13
7,1,0,-4
8,1,2,-6
9,1,5,11
10,1,-4,-36
11,1,-3,13
12,1,-6,-4
13,1,-8,-2
14,1,-6,-4
15,1,-3,13
16,1,-3,-23
0,-1,0,0
1,-1,-3,-17
2,-1,-8,-34
3,-1,-3,-17
4,-1,-2,-34
5,-1,-5,-17
6,-1,12,-8
7,-1,12,-8
8,-1,17,7
9,-1,15,7
10,-1,16,-12
0,1,0,0
1,1,-3,-17
2,1,-8,-34
3,1,-3,-17
4,1,-2,-34
5,1,-5,-17
6,1,12,-8
7,1,15,41
8,1,4,30
9,1,3,-19
10,1,4,-4
11,1,3,15
12,1,5,13
13,1,5,13
14,1,4,-36
15,1,-1,-49
16,1,-1,-51
0,-1,0,0
1,-1,-3,-17
2,-1,0,0
3,-1,-3,-17
4,-1,-2,-34
5,-1,0,0
6,-1,-1,-17
7,-1,4,-4
8,-1,1,-19
9,-1,-3,-17
10,-1,-6,-66
11,-1,-5,-17
12,-1,-6,-34
13,-1,-9,-17
14,-1,-12,-34
15,-1,-13,-17
16,-1,-8,-2
17,-1,-10,2
18,-1,-6,-4
19,-1,-9,13
0,1,0,0
1,1,3,17
2,1,4,0
3,1,-5,-13
4,1,-6,-30
5,1,-9,-9
6,1,-4,4
7,1,-3,21
8,1,-2,4
9,1,-4,6
10,1,-5,-43
0,-1,0,0
1,-1,-3,-17
2,-1,0,0
3,-1,-3,-17
4,-1,-2,-34
5,-1,-1,-17
6,-1,-4,-34
7,-1,-7,-17
8,-1,17,7
9,-1,18,26
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,1,17
4,1,12,28
5,1,13,45
6,1,4,-4
7,1,3,13
8,1,4,-4
9,1,5,13
10,1,5,11
11,1,2,28
12,1,17,71
13,1,15,73
14,1,12,22
15,1,10,24
16,1,3,-23
0,-1,0,0
1,-1,-3,-17
2,-1,-4,-32
3,-1,-1,17
4,-1,6,30
5,-1,1,17
6,-1,0,-34
7,-1,-5,-47
8,-1,-6,-64
9,-1,-4,-30
10,-1,-1,-13
11,-1,10,32
12,-1,8,-2
13,-1,13,11
14,-1,20,24
15,-1,18,26
16,-1,21,7
17,-1,19,9
18,-1,17,-29
19,-1,14,-8
0,1,0,0
1,1,-3,-17
2,1,0,0
3,1,-5,-17
4,1,-8,-34
5,1,-11,-17
6,1,-21,-13
7,1,-28,-28
8,1,-26,-28
9,1,-27,-9
10,1,-32,-26
11,1,-36,-20
12,1,-43,-37
0,-1,0,0
1,-1,-1,17
2,-1,0,0
3,-1,1,17
4,-1,0,0
5,-1,-1,17
6,-1,-2,0
7,-1,2,30
8,-1,1,13
9,-1,0,30
10,-1,2,28
11,-1,3,47
0,1,0,0
1,1,-3,-17
2,1,-8,-34
3,1,-9,-17
4,1,-8,-34
5,1,-15,-49
6,1,-14,-32
7,1,-17,-13
8,1,-15,-13
9,1,-14,6
0,-1,0,0
1,-1,-3,-17
2,-1,-8,-34
3,-1,1,15
4,-1,0,-34
5,-1,1,15
6,-1,-6,-34
7,-1,-15,-11
8,-1,-14,-28
9,-1,-14,8
10,-1,-17,-43
11,-1,-16,6
12,-1,-15,-11
13,-1,-4,38
14,-1,-4,38
0,-1,0,0
1,-1,3,17
2,-1,4,0
3,-1,5,17
4,-1,4,0
5,-1,3,17
6,-1,4,0
7,-1,7,17
8,-1,-8,6
9,-1,-9,23
10,-1,-11,-11
11,-1,-9,-11
12,-1,-12,-28
13,-1,-12,4
14,-1,-12,-28
15,-1,-14,-28
16,-1,-17,-77
17,-1,-15,-43
18,-1,-12,-26
19,-1,9,15
20,-1,17,9
21,-1,20,64
22,-1,16,66
23,-1,29,80
0,-1,0,0
1,-1,-3,-17
2,-1,-8,-34
3,-1,-13,-51
4,-1,-18,-66
5,-1,-15,-49
6,-1,-16,-32
7,-1,-15,-15
8,-1,-14,0
9,-1,-15,17
10,-1,6,-2
0,1,0,0
1,1,-1,17
2,1,0,0
