step,winner,endpoint_factor,edge_factor
0,-1,0,0
1,-1,-0.283333,-0.111111
2,-1,-0.666667,-0.222222
3,-1,-0.357143,-0.111111
4,-1,-0.857143,-0.208333
5,-1,-0.047619,0
6,-1,-0.3,-0.128968
7,-1,-0.0678571,0.0238095
8,-1,-0.566667,-0.0555556
9,-1,-0.733333,-0.166667
10,-1,-0.983333,-0.166667
11,-1,-0.566667,-0.0555556
12,-1,-0.4,0.0555556
13,-1,-0.15,0.075
14,-1,-0.631746,0.102778
15,-1,-0.357937,-0.0777778
0,1,0,0
1,1,-0.233333,-0.107143
2,1,0.333333,0.253968
3,1,0.925,0.35119
4,1,0.541667,0.263889
5,1,1.05159,0.376587
6,1,0.236111,0.162302
7,1,0.05,0.0873016
8,1,-0.116667,0.10119
9,1,0.283333,0.212302
10,1,-0.688889,-0.171032
11,1,0.519444,0.130556
12,1,0.232143,0.0194444
13,1,0.273052,0.0515873
14,1,0.0885281,0.134921
15,1,0.652381,0.39881
16,1,-0.264286,0.208333
0,-1,0,0
1,-1,-0.233333,-0.107143
2,-1,-0.47619,-0.218254
3,-1,-0.217857,-0.10119
4,-1,-0.717857,-0.198413
5,-1,-0.17619,-0.0857143
6,-1,-0.575758,0.102778
7,-1,-0.4329,0.120635
8,-1,-0.29798,0.231746
9,-1,-0.117424,0.231746
10,-1,-0.63141,0.170635
0,1,0,0
1,1,-0.233333,-0.107143
2,1,-0.47619,-0.218254
3,1,-0.217857,-0.10119
4,1,-0.72381,-0.204365
5,1,-0.188889,-0.0916667
6,1,-0.4329,0.120635
7,1,0.743687,0.422222
8,1,0.752778,0.22619
9,1,-0.297222,-0.0178571
10,1,0.0436869,0.093254
11,1,0.585354,0.180556
12,1,0.335354,0.180556
13,1,0.40083,0.204365
14,1,-0.79596,-0.0972222
15,1,-0.937626,-0.259524
16,1,-1.0952,-0.255556
0,-1,0,0
1,-1,-0.283333,-0.111111
2,-1,0,0
3,-1,-0.283333,-0.111111
4,-1,-0.691667,-0.204365
5,-1,0,0
6,-1,-0.383333,-0.093254
7,-1,-0.0888889,0.0416667
8,-1,-0.404365,-0.0694444
9,-1,-0.230556,-0.10119
10,-1,-1.25833,-0.434524
11,-1,-0.05,-0.132937
12,-1,-0.525,-0.230159
13,-1,-5.55112e-17,-0.132937
14,-1,-0.483333,-0.22619
15,-1,0.120238,-0.128968
16,-1,0.275,-0.0178571
17,-1,0.571732,-0.00555556
18,-1,0.188399,0.0916667
19,-1,0.858333,0.337698
0,1,0,0
1,1,0.283333,0.111111
2,1,-0.216667,0.0138889
3,1,-0.116667,-0.125
4,1,-0.533333,-0.236111
5,1,0.233333,-0.170635
6,1,0.266667,-0.0277778
7,1,0.766667,0.0654762
8,1,0.133333,-0.0138889
9,1,0.466667,-0.031746
10,1,-0.741667,-0.333333
0,-1,0,0
1,-1,-0.233333,-0.107143
2,-1,0.05,0.00396825
3,-1,-0.217857,-0.10119
4,-1,-0.717857,-0.198413
5,-1,-0.259524,-0.10119
6,-1,-0.52619,-0.212302
7,-1,0.0154762,-0.0996032
8,-1,-0.255556,0.241667
9,-1,0.474242,0.338889
0,1,0,0
1,1,0.5,0.0972222
2,1,0,0
3,1,0.458333,0.0972222
4,1,0.311111,0.253968
5,1,0.694444,0.384921
6,1,-0.266667,0.0277778
7,1,0.22381,0.125
8,1,-0.266667,0.0277778
9,1,0.17619,0.125
10,1,0.0428571,0.140476
11,1,0.717857,0.237698
12,1,1.20195,0.616667
13,1,1.46861,0.616667
14,1,0.413059,0.311111
15,1,0.746392,0.277778
16,1,-0.403608,-0.0888889
0,-1,0,0
1,-1,-0.283333,-0.111111
2,-1,-0.666667,-0.222222
3,-1,0.440476,0.093254
4,-1,0.533333,0.236111
5,-1,0.5,0.093254
6,-1,-0.841667,-0.184524
7,-1,-0.958333,-0.309524
8,-1,-1.375,-0.420635
9,-1,-0.555556,-0.196825
10,-1,-0.331746,-0.0956349
11,-1,0.540909,0.279365
12,-1,-0.268615,0.0650794
13,-1,0,0.267857
14,-1,0.0214286,0.392857
15,-1,0.271429,0.378968
16,-1,-0.279167,0.291667
17,-1,-0.0291667,0.291667
18,-1,-1.14167,0.166667
19,-1,-0.225,0.236111
0,1,0,0
1,1,-0.233333,-0.107143
2,1,0,0
3,1,-0.182143,-0.10119
4,1,-0.47619,-0.212302
5,1,0.0555556,-0.115079
6,1,0.45,-0.220238
7,1,0.365476,-0.331349
8,1,0.115476,-0.335317
9,1,0.632143,-0.248016
10,1,0.290476,-0.373016
11,1,0.564744,-0.444444
12,1,0.239744,-0.569444
0,-1,0,0
1,-1,0.5,0.0972222
2,-1,0,0
3,-1,0.458333,0.0972222
4,-1,5.55112e-17,0
5,-1,0.483333,0.0972222
6,-1,0.0472222,0
7,-1,0.658333,0.218254
8,-1,0.158333,0.125
9,-1,0.791667,0.204365
10,-1,0.458333,0.222222
11,-1,1.125,0.319444
0,1,0,0
1,1,-0.233333,-0.107143
2,1,-0.47619,-0.218254
3,1,0.0238095,-0.121032
4,1,-0.47619,-0.218254
5,1,-0.670635,-0.329365
6,1,-0.32619,-0.218254
7,1,0.284921,-0.180556
8,1,0.0944444,-0.180556
9,1,0.594444,-0.093254
0,-1,0,0
1,-1,-0.233333,-0.107143
2,-1,-0.47619,-0.218254
3,-1,0.416667,0.115079
4,-1,-0.791667,-0.186508
5,-1,0.344444,0.128968
6,-1,-0.641667,-0.228175
7,-1,0.183333,-0.227778
8,-1,-0.334066,-0.357143
9,-1,0.574267,-0.176587
10,-1,-0.757875,-0.478175
11,-1,0.435379,-0.176587
12,-1,-0.0829365,-0.339286
13,-1,0.865837,0.077381
14,-1,0.629823,-0.134921
0,-1,0,0
1,-1,0.283333,0.111111
2,-1,-0.216667,0.0138889
3,-1,0.241667,0.111111
4,-1,-0.175,0.031746
5,-1,0.334921,0.134921
6,-1,-0.171032,0.031746
7,-1,0.251623,0.128968
8,-1,0.342857,-0.0694444
9,-1,0.699267,0.0416667
10,-1,-0.100733,-0.166667
11,-1,-0.140476,-0.182143
12,-1,-0.408333,-0.293254
13,-1,0.163095,-0.0571429
14,-1,-0.421429,-0.287302
15,-1,-0.410256,-0.361111
16,-1,-1.60833,-0.662698
17,-1,-0.788889,-0.448413
18,-1,-0.365079,-0.327381
19,-1,0.35132,0.178175
20,-1,-0.0307869,0.209921
21,-1,1.31237,0.509921
22,-1,1.32824,0.329365
23,-1,1.35956,0.718254
0,-1,0,0
1,-1,-0.233333,-0.107143
2,-1,-0.47619,-0.218254
3,-1,-0.652381,-0.319444
4,-1,-0.920635,-0.454365
5,-1,-0.637302,-0.343254
6,-1,-0.30202,-0.232143
7,-1,0.0813131,-0.121032
8,-1,0.308358,-0.00992063
9,-1,0.739011,0.125
10,-1,-0.315476,0.0654762
0,1,0,0
1,1,0.5,0.0972222
2,1,0,0
3,1,0.458333,0.0972222
4,1,0.0472222,0
5,1,0.537698,0.0972222
6,1,0.0277778,0
7,1,0.481313,0.0972222
8,1,0.296789,-0.0496032
9,1,0.769109,0.0436508
0,1,0,0
1,1,0.5,0.0972222
2,1,0,0
3,1,0.458333,0.0972222
4,1,0.0194444,0
5,1,0.462302,0.0972222
6,1,-0.323413,-0.267857
7,1,-0.0186147,-0.156746
8,1,-0.515934,-0.253968
9,1,-0.315934,-0.271825
10,1,-0.812363,-0.392857
11,1,-0.237363,-0.328968
0,-1,0,0
1,-1,-0.233333,-0.107143
2,-1,-0.47619,-0.218254
3,-1,0.0238095,-0.121032
4,-1,-0.434524,-0.218254
5,-1,-0.0261905,-0.142857
6,-1,-0.503968,-0.240079
7,-1,-0.0134921,-0.142857
8,-1,-0.344877,-0.253968
9,-1,-0.027356,-0.142857
10,-1,-0.344023,-0.253968
11,-1,0.0833944,-0.166667
12,-1,0.42193,-0.0555556
13,-1,0.748587,0.0555556
14,-1,0.296825,0.0123016
15,-1,0.430754,0.123413
16,-1,1.04603,0.220635
17,-1,0.531313,0.0912698
18,-1,1.058,0.194444
19,-1,0.541331,0.0972222
20,-1,0.741331,0.0138889
21,-1,0.434921,0.0218254
22,-1,-0.361111,-0.387698
23,-1,-0.420635,-0.444841
24,-1,0.0515873,-0.468651
25,-1,-0.198413,-0.472619
26,-1,0.0118437,-0.47381
0,1,0,0
1,1,0.5,0.0972222
2,1,0,0
3,1,0.458333,0.0972222
4,1,-5.55112e-17,0
5,1,0.483333,0.0972222
6,1,0.0472222,0
7,1,-0.410354,-0.115079
8,1,-0.391667,-0.115079
9,1,0.0988095,-0.0178571
10,1,-0.391667,-0.115079
11,1,0.465909,0.259921
12,1,0.220238,-0.0357143
13,1,1.07083,0.333333
14,1,0.410256,0.438492
15,1,0.326923,0.303571
16,1,-0.348077,0.206349
17,1,0.491667,0.396825
18,1,1.04722,0.535714
19,1,1.15076,0.392857
20,1,1.20833,0.315079
21,1,1.58141,0.505556
0,1,0,0
1,1,0.283333,0.111111
2,1,0,0
3,1,0.505952,0.103175
4,1,-0.387302,-0.253968
5,1,-0.0595238,-0.123413
6,1,-0.565476,-0.226587
7,1,-0.093254,-0.107143
8,1,-0.538553,0.128968
9,1,-0.288553,0.138889
10,1,-0.183333,-0.14881
11,1,0.657143,0.0833333
0,-1,0,0
1,-1,-0.233333,-0.107143
2,-1,-0.47619,-0.218254
3,-1,-0.192857,-0.107143
4,-1,-0.692857,-0.204365
5,-1,-0.234524,-0.107143
6,-1,-0.548413,-0.103175
7,-1,-0.0484127,-0.00595238
8,-1,-0.166667,-0.142857
9,-1,0.691667,0.198413
10,-1,-0.35641,-0.152778
11,-1,0.841667,0.14881
12,-1,-0.341667,-0.152778
13,-1,0.15,-0.0555556
14,-1,-0.354762,-0.134921
15,-1,-0.0403828,-0.0238095
16,-1,-0.546575,-0.134921
17,-1,0.236759,0.0634921
18,-1,-0.971575,-0.255952
19,-1,-1.20754,-0.162698
20,-1,-1.35635,-0.162698
0,1,0,0
1,1,0.5,0.0972222
2,1,0,0
3,1,0.458333,0.0972222
4,1,5.55112e-17,0
5,1,0.525,0.0972222
6,1,0.0694444,0
7,1,0.391667,0.111111
8,1,-0.108333,0.0138889
9,1,-0.0519231,-0.00396825
10,1,0.0202991,0
11,1,0.784091,0.188889
0,-1,0,0
1,-1,-0.233333,-0.107143
2,-1,-0.47619,-0.218254
3,-1,-0.217857,-0.10119
4,-1,-0.717857,-0.198413
5,-1,0,0
6,-1,0.188889,0.0916667
7,-1,0.476587,0.202778
8,-1,-0.0436147,0.105556
9,-1,0.115476,0.0916667
10,-1,-0.831746,-0.265476
11,-1,-0.702381,-0.246032
12,-1,-1.0746,-0.357143
13,-1,-0.809524,-0.180556
14,-1,-1.76667,-0.537698
0,-1,0,0
1,-1,-0.5,-0.0972222
2,-1,-1,-0.190476
3,-1,-0.408333,-0.093254
4,-1,-0.634524,-0.204365
5,-1,-0.533333,-0.236111
6,-1,-0.109524,-0.115079
7,-1,0.390476,-0.0218254
8,-1,0.0809524,-0.146825
9,-1,-0.659524,-0.335714
10,-1,-0.892857,-0.165079
0,-1,0,0
1,-1,0.283333,0.111111
2,-1,-0.216667,0.0138889
3,-1,0.166667,0.125
4,-1,-0.190476,0.0138889
5,-1,0.619048,0.222222
6,-1,0.128968,0.125
7,-1,-0.288889,0.0793651
8,-1,-0.608333,-0.031746
9,-1,-0.534091,-0.0123016
10,-1,-1.14286,-0.47619
11,-1,-0.32619,-0.295635
12,-1,-0.798413,-0.398413
13,-1,0.261111,-0.122222
14,-1,0.0111111,-0.0888889
0,-1,0,0
1,-1,0.283333,0.111111
2,-1,-0.666667,-0.222222
3,-1,0.440476,0.093254
4,-1,0.031746,-0.0178571
