step,winner,endpoint_factor,edge_factor
0,-1,0,0
1,-1,-0.0833333,0.0111111
2,-1,-0.190476,0.025
3,-1,0,0.0138889
4,-1,-0.166667,0.0138889
5,-1,0,-0.0138889
6,-1,0,-0.0138889
7,-1,0,0.0238095
8,-1,0,0.0238095
9,-1,0.166667,0.0238095
10,-1,-0.0833333,0.0238095
11,-1,0,0.0238095
12,-1,-0.166667,0.00992063
13,-1,0,0.0321429
14,-1,-0.166667,0.043254
15,-1,0,0.0194444
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.166667,0.031746
3,1,0.133333,0.0178571
4,1,0,0.0416667
5,1,0.0833333,0.0571429
6,1,0,0.0333333
7,1,0,0.0833333
8,1,0,0.0833333
9,1,0,0.0833333
10,1,0,0.0333333
11,1,0,0.0333333
12,1,0,0.0472222
13,1,0,0.0972222
14,1,-0.166667,0.198413
15,1,0,0.365079
16,1,0,0.365079
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0289683
3,-1,0,0.0238095
4,-1,-0.166667,0.0238095
5,-1,0,0.0571429
6,-1,-0.166667,0.0861111
7,-1,0,0.0861111
8,-1,-0.166667,0.0861111
9,-1,0,0.0861111
10,-1,-0.166667,0.15
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.133333,0.0289683
3,1,0,0.0238095
4,1,-0.190476,0
5,1,0,0.0333333
6,1,0,0.0861111
7,1,0,0.068254
8,1,0,0.0178571
9,1,0,0.093254
10,1,0,0.107143
11,1,0.166667,0.0654762
12,1,0,0.0654762
13,1,0,0.0654762
14,1,0,0.0654762
15,1,0.166667,0.00833333
16,1,0,0.0261905
0,-1,0,0
1,-1,-0.0833333,0.0111111
2,-1,0,0
3,-1,-0.0833333,0
4,-1,-0.0833333,0.0178571
5,-1,0,0
6,-1,0,0
7,-1,0,0.0416667
8,-1,0,0.0416667
9,-1,0,0.0238095
10,-1,0,0.0416667
11,-1,0,0.0416667
12,-1,0,0.0416667
13,-1,0,0.0416667
14,-1,-0.166667,0.0416667
15,-1,0,0.0416667
16,-1,-0.166667,0.0416667
17,-1,0,0.081746
18,-1,-0.166667,0.188889
19,-1,0,0.355556
0,1,0,0
1,1,0.0833333,-0.0111111
2,1,-0.133333,0
3,1,0,-0.025
4,1,0,-0.0138889
5,1,0.166667,-0.031746
6,1,0,-0.0277778
7,1,0.166667,-0.031746
8,1,0,-0.025
9,1,0.166667,-0.025
10,1,0.166667,-0.025
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,0.0833333,0.00674603
3,-1,0,0.0238095
4,-1,-0.166667,0.0238095
5,-1,0,0.0238095
6,-1,-0.0833333,0.0238095
7,-1,0.133333,0.0571429
8,-1,-0.166667,0.0861111
9,-1,0.166667,0.075
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0.0289683
5,1,0,0.0126984
6,1,0,0
7,1,0,0.0138889
8,1,0,0
9,1,0,0
10,1,-0.166667,0.0511905
11,1,0,0.0511905
12,1,-0.166667,0.075
13,1,0,0.075
14,1,0,0.075
15,1,0.166667,0.0555556
16,1,0.166667,0.0222222
0,-1,0,0
1,-1,-0.0833333,0.0111111
2,-1,-0.0833333,0
3,-1,0,-0.0178571
4,-1,0,0.0138889
5,-1,0.166667,-0.00396825
6,-1,0,0.00992063
7,-1,0,0.00992063
8,-1,0,0.00992063
9,-1,0,0.043254
10,-1,0,0.0194444
11,-1,0,0.043254
12,-1,0,0.0194444
13,-1,0,0.093254
14,-1,-0.166667,0.093254
15,-1,0,0.093254
16,-1,-0.166667,0.093254
17,-1,0,0.093254
18,-1,-0.166667,0.176587
19,-1,0,0.176587
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,0,0
3,1,0,0.0238095
4,1,-0.133333,0.0349206
5,1,0.133333,0.0349206
6,1,0.133333,-0.0206349
7,1,0.166667,-0.0206349
8,1,0,-0.0178571
9,1,0.166667,-0.0416667
10,1,0,-0.0416667
11,1,0.166667,-0.0527778
12,1,0,-0.0527778
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.166667,0
4,-1,0,0
5,-1,0.166667,0
6,-1,0,0
7,-1,0,0.00714286
8,-1,-0.166667,0.0111111
9,-1,0,0.025
10,-1,-0.166667,0.025
11,-1,0,0
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.133333,0.0289683
3,1,0.133333,0.0178571
4,1,-0.133333,0
5,1,-0.0833333,0
6,1,0,-0.0138889
7,1,0.166667,-0.0238095
8,1,0,-0.0238095
9,1,0.166667,-0.0238095
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0289683
3,-1,0.0833333,0.0178571
4,-1,-0.133333,0.0178571
5,-1,0,-0.0111111
6,-1,0,-0.00992063
7,-1,0,-0.0777778
8,-1,0,-0.0960317
9,-1,0.166667,-0.0960317
10,-1,0,-0.0960317
11,-1,0,-0.0960317
12,-1,0,-0.179365
13,-1,0,-0.121032
14,-1,-0.166667,-0.358333
0,-1,0,0
1,-1,0.0833333,-0.0111111
2,-1,-0.133333,0
3,-1,0.0833333,0
4,-1,0,0.00674603
5,-1,0,0.0126984
6,-1,0,-0.0111111
7,-1,0,-0.0111111
8,-1,0,-0.0416667
9,-1,0,-0.0555556
10,-1,0,-0.0238095
11,-1,0,-0.0571429
12,-1,0,-0.0571429
13,-1,0,-0.0571429
14,-1,0,-0.0333333
15,-1,0,-0.0416667
16,-1,-0.0833333,-0.0416667
17,-1,0,-0.0416667
18,-1,0,-0.0416667
19,-1,0,0.0511905
20,-1,-0.166667,-0.0111111
21,-1,0,-0.00909091
22,-1,0,-0.238889
23,-1,0,-0.031746
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0289683
3,-1,-0.166667,0.0527778
4,-1,-0.133333,0.0289683
5,-1,-0.133333,0.0178571
6,-1,0,0.0178571
7,-1,0,0.00396825
8,-1,0,0.00396825
9,-1,0,0.0166667
10,-1,-0.166667,0.00992063
0,1,0,0
