step,winner,endpoint_factor,edge_factor
0,-1,0,0
1,-1,-0.0833333,0
2,-1,-0.190476,0
3,-1,0,0
4,-1,-0.166667,0
5,-1,0,0
6,-1,0,0
7,-1,0,0.0238095
8,-1,0,0.0238095
9,-1,0.166667,0.0238095
10,-1,-0.0833333,0.0238095
11,-1,0,0.0238095
12,-1,-0.166667,0.0238095
13,-1,0,0.0571429
14,-1,-0.166667,0.0571429
15,-1,0,0.0333333
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.166667,0.031746
3,1,0.133333,0.0178571
4,1,0,0.0416667
5,1,0.0833333,0.0571429
6,1,0,0.0333333
7,1,0,0.0833333
8,1,0,0.0833333
9,1,0,0.0833333
10,1,0,0.0333333
11,1,0,0.0333333
12,1,0,0.0333333
13,1,0,0.0833333
14,1,-0.166667,0.166667
15,1,0,0.333333
16,1,0,0.333333
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0178571
3,-1,0,0.0238095
4,-1,-0.166667,0.0238095
5,-1,0,0.0571429
6,-1,-0.166667,0.075
7,-1,0,0.075
8,-1,-0.166667,0.075
9,-1,0,0.075
10,-1,-0.166667,0.125
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.133333,0.0178571
3,1,0,0.0238095
4,1,-0.190476,0
5,1,0,0.0333333
6,1,0,0.075
7,1,0,0.0571429
8,1,0,0
9,1,0,0.107143
10,1,0,0.107143
11,1,0.166667,0.0833333
12,1,0,0.0833333
13,1,0,0.0833333
14,1,0,0.0833333
15,1,0.166667,0.05
16,1,0,0.05
0,-1,0,0
1,-1,-0.0833333,0
2,-1,0,0
3,-1,-0.0833333,0
4,-1,-0.0833333,0.0178571
5,-1,0,0
6,-1,0,0
7,-1,0,0.0238095
8,-1,0,0.0238095
9,-1,0,0.0238095
10,-1,0,0.0238095
11,-1,0,0.0238095
12,-1,0,0.0238095
13,-1,0,0.0238095
14,-1,-0.166667,0.0238095
15,-1,0,0.0238095
16,-1,-0.166667,0.0238095
17,-1,0,0.05
18,-1,-0.166667,0.133333
19,-1,0,0.3
0,1,0,0
1,1,0.0833333,0
2,1,-0.133333,0
3,1,0,0
4,1,0,0
5,1,0.166667,-0.031746
6,1,0,-0.0138889
7,1,0.166667,-0.031746
8,1,0,0
9,1,0.166667,0
10,1,0.166667,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,0.0833333,0.0178571
3,-1,0,0.0238095
4,-1,-0.166667,0.0238095
5,-1,0,0.0238095
6,-1,-0.0833333,0.0238095
7,-1,0.133333,0.0571429
8,-1,-0.166667,0.075
9,-1,0.166667,0.075
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0.0178571
5,1,0,0.0238095
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,-0.166667,0.0333333
11,1,0,0.0333333
12,1,-0.166667,0.0333333
13,1,0,0.0333333
14,1,0,0.0333333
15,1,0.166667,0
16,1,0.166667,-0.0333333
0,-1,0,0
1,-1,-0.0833333,0
2,-1,-0.0833333,0
3,-1,0,-0.0178571
4,-1,0,0
5,-1,0.166667,-0.0178571
6,-1,0,0.0238095
7,-1,0,0.0238095
8,-1,0,0.0238095
9,-1,0,0.0571429
10,-1,0,0.0333333
11,-1,0,0.0571429
12,-1,0,0.0333333
13,-1,0,0.107143
14,-1,-0.166667,0.107143
15,-1,0,0.107143
16,-1,-0.166667,0.107143
17,-1,0,0.107143
18,-1,-0.166667,0.190476
19,-1,0,0.190476
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,0,0
3,1,0,0.0238095
4,1,-0.133333,0.0238095
5,1,0.133333,0.0238095
6,1,0.133333,-0.031746
7,1,0.166667,-0.031746
8,1,0,-0.0178571
9,1,0.166667,-0.0416667
10,1,0,-0.0416667
11,1,0.166667,-0.0416667
12,1,0,-0.0416667
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.166667,0
4,-1,0,0
5,-1,0.166667,0
6,-1,0,0
7,-1,0,-0.0178571
8,-1,-0.166667,0
9,-1,0,0
10,-1,-0.166667,0
11,-1,0,0
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.133333,0.0178571
3,1,0.133333,0.0178571
4,1,-0.133333,0
5,1,-0.0833333,0
6,1,0,0
7,1,0.166667,-0.0238095
8,1,0,-0.0238095
9,1,0.166667,-0.0238095
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0178571
3,-1,0.0833333,0.0178571
4,-1,-0.133333,0.0178571
5,-1,0,0
6,-1,0,-0.0238095
7,-1,0,-0.0888889
8,-1,0,-0.107143
9,-1,0.166667,-0.107143
10,-1,0,-0.107143
11,-1,0,-0.107143
12,-1,0,-0.190476
13,-1,0,-0.107143
14,-1,-0.166667,-0.333333
0,-1,0,0
1,-1,0.0833333,0
2,-1,-0.133333,0
3,-1,0.0833333,0
4,-1,0,0.0178571
5,-1,0,0.0238095
6,-1,0,0
7,-1,0,0
8,-1,0,-0.0416667
9,-1,0,-0.0416667
10,-1,0,-0.0238095
11,-1,0,-0.0571429
12,-1,0,-0.0571429
13,-1,0,-0.0571429
14,-1,0,-0.0333333
15,-1,0,-0.0833333
16,-1,-0.0833333,-0.0833333
17,-1,0,-0.0833333
18,-1,0,-0.0833333
19,-1,0,0.0333333
20,-1,-0.166667,0
21,-1,0,0
22,-1,0,-0.25
23,-1,0,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0178571
3,-1,-0.166667,0.0416667
4,-1,-0.133333,0.0178571
5,-1,-0.133333,0.0178571
6,-1,0,0.0178571
7,-1,0,0.0178571
8,-1,0,0.0178571
9,-1,0,0.0416667
10,-1,-0.166667,0.0238095
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0
5,1,0.166667,0
6,1,0,0
7,1,0.166667,0
8,1,0,0
9,1,0.166667,0
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0
5,1,0.166667,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0.166667,0
10,1,0,-0.0238095
11,1,0,-0.0571429
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0178571
3,-1,0.133333,0.0178571
4,-1,-0.133333,0.0178571
5,-1,0,-0.0178571
6,-1,-0.0833333,-0.0178571
7,-1,0,0
8,-1,0,0
9,-1,0,0
10,-1,0,0
11,-1,0,-0.0238095
12,-1,0,-0.0238095
13,-1,0,-0.0238095
14,-1,-0.166667,-0.0571429
15,-1,-0.166667,-0.0571429
16,-1,-0.166667,-0.0571429
17,-1,-0.166667,-0.107143
18,-1,-0.166667,-0.0833333
19,-1,-0.166667,-0.0833333
20,-1,0,-0.166667
21,-1,-0.166667,-0.166667
22,-1,-0.166667,-0.190476
23,-1,-0.166667,-0.190476
24,-1,0,-0.190476
25,-1,-0.166667,-0.190476
26,-1,-0.166667,-0.166667
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0
5,1,0.166667,0
6,1,0,0
7,1,-0.133333,0
8,1,-0.133333,0
9,1,0,0
10,1,-0.133333,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0.0238095
15,1,0.166667,0
16,1,0,0
17,1,0,0
18,1,-0.166667,-0.0833333
19,1,0,-0.0833333
20,1,0,-0.133333
21,1,0,-0.05
0,1,0,0
1,1,0.0833333,0
2,1,0,0
3,1,0.190476,0.0238095
4,1,0,0
5,1,0,0.0333333
6,1,0,0.0333333
7,1,0,0.0833333
8,1,-0.166667,0.0833333
9,1,0,0.0833333
10,1,0,-0.0238095
11,1,0,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0178571
3,-1,0,0.0178571
4,-1,-0.133333,0.0178571
5,-1,0,0.0178571
6,-1,-0.133333,-0.0238095
7,-1,0,-0.0238095
8,-1,0,-0.0178571
9,-1,0,-0.0238095
10,-1,0,-0.0416667
11,-1,0,-0.0416667
12,-1,0,-0.0238095
13,-1,0,-0.0238095
14,-1,0,-0.0238095
15,-1,0,-0.0238095
16,-1,0,-0.0238095
17,-1,0,-0.0238095
18,-1,0,-0.0238095
19,-1,0,0
20,-1,-0.166667,0
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0
5,1,0.166667,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,1,0,0
11,1,0,-0.0333333
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0178571
3,-1,0,0.0238095
4,-1,-0.166667,0.0238095
5,-1,0,0
6,-1,0,-0.0333333
7,-1,0,-0.0333333
8,-1,0,-0.0333333
9,-1,0,-0.0333333
10,-1,-0.0833333,-0.0333333
11,-1,0,0
12,-1,0,0
13,-1,0,0
14,-1,0,0
0,-1,0,0
1,-1,-0.166667,0.0138889
2,-1,-0.333333,0.031746
3,-1,0,0.0178571
4,-1,-0.0833333,0.0178571
5,-1,0,0
6,-1,0,0.0238095
7,-1,0.166667,0.0238095
8,-1,0,0.0238095
9,-1,0,0.0571429
10,-1,-0.166667,0.0571429
0,-1,0,0
1,-1,0.0833333,0
2,-1,-0.133333,0
3,-1,0,0
4,-1,0,0
5,-1,0.166667,0
6,-1,0,0
7,-1,0,0.0238095
8,-1,0,0.0238095
9,-1,0,0.0571429
10,-1,0,-0.0178571
11,-1,0,-0.0416667
12,-1,0,-0.0333333
13,-1,0,-0.0333333
14,-1,-0.166667,0
0,-1,0,0
1,-1,0.0833333,0
2,-1,-0.0833333,0
3,-1,0,-0.0178571
4,-1,0,-0.0178571
5,-1,0,-0.0178571
6,-1,-0.133333,0
7,-1,-0.190476,-0.0238095
8,-1,-0.357143,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0178571
3,-1,0,0.0238095
4,-1,-0.190476,0
5,-1,0,0.0333333
6,-1,-0.166667,0
7,-1,0,0.0833333
8,-1,-0.166667,0.0833333
9,-1,0,0.166667
10,-1,-0.166667,0.166667
11,-1,0,0.166667
12,-1,0,-0.0238095
13,-1,0,-0.0416667
14,-1,0,-0.0571429
15,-1,0.166667,-0.075
16,-1,0,-0.075
17,-1,0,-0.125
18,-1,-0.133333,-0.107143
19,-1,0,-0.107143
20,-1,-0.166667,-0.107143
21,-1,0,-0.107143
22,-1,-0.166667,-0.107143
23,-1,-0.166667,-0.075
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.133333,0.0178571
3,1,0,0.0238095
4,1,-0.190476,0
5,1,0,0.0333333
6,1,-0.166667,0
7,1,0,0.0833333
8,1,-0.166667,0.05
9,1,0,0.133333
10,1,-0.166667,0.133333
11,1,0,0.133333
12,1,0,-0.0571429
13,1,0,-0.0888889
14,1,0,-0.107143
15,1,0.166667,-0.107143
0,-1,0,0
1,-1,-0.0833333,0
2,-1,-0.190476,0
3,-1,0,0
4,-1,-0.166667,-0.0238095
5,-1,0,0
6,-1,0,-0.0333333
7,-1,0,0
8,-1,0,-0.0833333
9,-1,0.166667,-0.0833333
10,-1,-0.0833333,-0.0833333
11,-1,0,0
12,-1,0,0.0571429
13,-1,0,0.0571429
14,-1,-0.166667,0.0571429
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0
5,1,0.166667,0
6,1,-0.166667,0
7,1,0,-0.0238095
8,1,0,-0.0238095
9,1,0.166667,-0.0238095
10,1,0,-0.0571429
11,1,0.133333,-0.0571429
12,1,0,-0.107143
13,1,0.166667,-0.107143
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.133333,0.0178571
4,-1,0,-0.0178571
5,-1,0,-0.0416667
6,-1,0,-0.0238095
7,-1,0,0
8,-1,0,0
9,-1,0,0
10,-1,-0.0833333,0
11,-1,0,0
12,-1,-0.166667,0
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.166667,0
4,-1,0,0
5,-1,0.166667,0
6,-1,0,0
7,-1,0,0
8,-1,0,0
9,-1,0,0
10,-1,-0.166667,0.0238095
11,-1,0,0.0238095
12,-1,-0.166667,0.0571429
13,-1,0,0.0571429
14,-1,-0.166667,0.0571429
15,-1,-0.166667,0.0333333
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,-0.133333,0
4,1,-0.133333,0
5,1,0,0
6,1,0,0
7,1,0,0.0333333
8,1,0,0
9,1,0,0.107143
10,1,0,0.0571429
11,1,0,0.0571429
12,1,-0.166667,0.0571429
13,1,0,0.0571429
14,1,0,0.0333333
15,1,0,0.0333333
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,1,0,0
21,1,0.166667,0
22,1,0,0
23,1,0.166667,0.166667
24,1,0.166667,0
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.133333,0.0178571
4,1,0,0
5,1,0.133333,0
6,1,0,0
7,1,0,0
8,1,-0.133333,0
9,1,0,0
10,1,0,-0.05
11,1,0.166667,-0.05
12,1,0,-0.133333
13,1,0,0
14,1,0,0
15,1,0,0.0833333
16,1,0,-0.166667
17,1,0,-0.133333
18,1,0,-0.166667
19,1,0.166667,-0.166667
0,1,0,0
1,1,0.0833333,0
2,1,-0.133333,0
3,1,0,0
4,1,0,0
5,1,0.166667,0
6,1,0,0.0238095
7,1,0,0
8,1,0,0
9,1,0,-0.0178571
10,1,0,-0.0178571
11,1,0.166667,-0.0178571
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.133333,0
4,-1,0,0
5,-1,0,0
6,-1,-0.0833333,0
7,-1,0.166667,0
8,-1,0,0
9,-1,0,0
10,-1,-0.166667,0
11,-1,0,0.0238095
12,-1,0,0.0238095
13,-1,0.166667,0.0238095
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0
5,1,0.133333,0
6,1,0,0.0416667
7,1,0.0833333,0.0571429
8,1,0,0.0333333
9,1,0,0.05
10,1,0,0.05
11,1,0.166667,0.0833333
12,1,0,0.0833333
13,1,0.166667,0.166667
0,-1,0,0
1,-1,0.0833333,0
2,-1,-0.133333,0
3,-1,0,0
4,-1,-0.0833333,0
5,-1,0,0
6,-1,0,0
7,-1,0,0
8,-1,0,0
9,-1,0,0.0238095
10,-1,-0.166667,0.0238095
0,1,0,0
1,1,0.0833333,0
2,1,-0.0833333,0
3,1,0,-0.0178571
4,1,-0.0833333,0
5,1,0,0.0238095
6,1,0,0.0238095
7,1,0.166667,0.0238095
8,1,0,0.0238095
9,1,0.166667,0.0238095
10,1,0,0.0238095
11,1,0.166667,0.0238095
12,1,-0.166667,0.0571429
13,1,0,0.0571429
14,1,0,0.107143
15,1,0,0.107143
16,1,-0.166667,0.107143
17,1,0,0.107143
18,1,-0.166667,0.107143
19,1,0,0.107143
20,1,0,0.190476
21,1,0,0.190476
22,1,0,0.125
23,1,0.166667,0.125
0,-1,0,0
1,-1,0.0833333,0
2,-1,-0.133333,0
3,-1,0.0833333,0
4,-1,-0.133333,0
5,-1,0,0
6,-1,0,0
7,-1,0,-0.0416667
8,-1,0,-0.0416667
9,-1,0.166667,0
10,-1,0,0
11,-1,0,0
12,-1,0,0
13,-1,0,0
14,-1,0,0
15,-1,0,0
16,-1,-0.166667,0
17,-1,0,-0.0333333
18,-1,-0.166667,-0.0333333
0,1,0,0
1,1,-0.0833333,0
2,1,-0.190476,0
3,1,-0.133333,0
4,1,-0.0833333,0
5,1,-0.0833333,0
6,1,0,0
7,1,0,0
8,1,0,0.0238095
9,1,0.166667,0.0238095
10,1,0.166667,0.0238095
0,-1,0,0
1,-1,0.0833333,0
2,-1,-0.133333,0
3,-1,0,0
4,-1,0,-0.0178571
5,-1,0.166667,0
6,-1,0,-0.0238095
7,-1,0,0
8,-1,0,0
9,-1,0,0.0238095
10,-1,0,0.0238095
11,-1,0,0.0238095
12,-1,0,0.0238095
13,-1,0.166667,0.0238095
