step,winner,endpoint_factor,edge_factor
0,-1,0,0
1,-1,-0.0166667,0.00694444
2,-1,-0.126984,0.00925926
3,-1,-0.0396825,0.00231481
4,-1,-0.136905,0.0104167
5,-1,-0.015873,0
6,-1,-0.0186508,-0.000661376
7,-1,-0.0169643,0.00595238
8,-1,-0.0745238,0.0161706
9,-1,-0.0436508,0.0176918
10,-1,-0.106151,0.0188492
11,-1,-0.0602381,0.0130952
12,-1,-0.0666667,0.00925926
13,-1,-0.025,0.0125
14,-1,-0.105291,0.0171296
15,-1,-0.0111867,0.00796485
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.222222,0.010582
3,1,0.08125,-0.00595238
4,1,-0.0104167,0.00694444
5,1,0.0924603,-0.00503968
6,1,2.77556e-17,0.00701058
7,1,0.0125,0.0218254
8,1,-0.0291667,0.0252976
9,1,0.00833333,0.0167659
10,1,-0.0361111,0.0185847
11,1,0.0501852,-0.000132275
12,1,0.0386905,0.00324074
13,1,0.0455087,0.00859788
14,1,0.0147547,0.0224868
15,1,0.062585,0.0379346
16,1,-0.00351474,0.0564059
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0224868
3,-1,0.00376984,0.0125661
4,-1,-0.106548,0.0233135
5,-1,0.00687831,0.014914
6,-1,-0.143939,0.0256944
7,-1,-0.108225,0.0301587
8,-1,-0.127929,0.0234325
9,-1,-0.0834848,0.0234325
10,-1,-0.126282,0.034127
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.0253968,0.0224868
3,1,0.00376984,0.0125661
4,1,-0.113988,0.0262897
5,1,0.00171958,0.014914
6,1,-0.108225,0.0301587
7,1,0.0142256,0.00720899
8,1,0.0539352,-0.00429894
9,1,-0.00972222,0.0212302
10,1,0.00728114,0.0155423
11,1,0.0490981,0.00751134
12,1,0.0133838,0.00718065
13,1,0.0242965,0.010582
14,1,-0.0485164,0.0256283
15,1,-0.0297278,0.0215388
16,1,-0.0467312,0.0229718
0,-1,0,0
1,-1,-0.0166667,0.00694444
2,-1,0,0
3,-1,-0.0111111,0.00462963
4,-1,-0.0791667,0.015873
5,-1,0,0
6,-1,-0.0472222,0.00975529
7,-1,-0.0222222,0.0104167
8,-1,-0.0348413,0.0126984
9,-1,0.00277778,0.00634921
10,-1,-0.0623016,0.0180461
11,-1,0.0344444,-0.000727513
12,-1,-0.0111905,0.00464853
13,-1,0.0345238,-0.000708617
14,-1,2.77556e-17,0.00446429
15,-1,0.046131,-0.000106293
16,-1,0.034375,-0.00223214
17,-1,0.0714665,-0.000694444
18,-1,0.0235498,0.0114583
19,-1,0.0754264,0.0218474
0,1,0,0
1,1,0.0166667,-0.00694444
2,1,-0.108333,0.00694444
3,1,0.0722222,-0.00231481
4,1,0.0125,0
5,1,0.155556,-0.014881
6,1,0.0666667,-0.00694444
7,1,0.1,-0.0114087
8,1,0.0266667,-0.00277778
9,1,0.0933333,-0.00634921
10,1,0.0324405,0.00680272
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,0.025,0.00198413
3,-1,0.00376984,0.0125661
4,-1,-0.106548,0.0233135
5,-1,-0.0162698,0.0082672
6,-1,-0.0419048,0.0130952
7,-1,0.0428175,0.00813492
8,-1,-0.119444,0.0247222
9,-1,-0.0140152,0.0159722
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,-0.00925926
4,1,-0.0888889,0.00446429
5,1,-0.0211111,0.000793651
6,1,-0.0666667,0.00694444
7,1,-0.00571429,0.000496032
8,1,-0.0533333,0.00555556
9,1,-0.00810967,-0.000462963
10,1,-0.0347763,0.00152116
11,1,0.0502134,-0.00436508
12,1,-0.0179654,-0.00285494
13,1,0.0533309,-0.00726411
14,1,-0.00909993,0.00763889
15,1,0.0325667,0.00133929
16,1,-0.0197253,0.00557681
0,-1,0,0
1,-1,-0.0166667,0.00694444
2,-1,-0.0555556,0.00925926
3,-1,0.0674603,-0.0112434
4,-1,-0.0125,0
5,-1,0.0527778,-0.00710979
6,-1,-0.0805556,0.0167989
7,-1,-0.0277778,0.0155423
8,-1,-0.0615079,0.0166289
9,-1,-0.00694444,0.0127976
10,-1,-0.0143651,0.00646825
11,-1,0.00108225,0.0047619
12,-1,-0.0447691,0.0108466
13,-1,-0.0384921,0.0209751
14,-1,-0.0771825,0.0194279
15,-1,-0.0355159,0.0171131
16,-1,-0.0735863,0.0215065
17,-1,-0.037872,0.0212585
18,-1,-0.113988,0.0404974
19,-1,-0.028125,0.0295139
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,0,0
3,1,-0.00357143,0.014881
4,1,-0.0377976,0.0198413
5,1,0.06875,0.00479497
6,1,0.195833,-0.0272817
7,1,0.228651,-0.0218254
8,1,0.145317,-0.0207672
9,1,0.197262,-0.0266865
10,1,0.152579,-0.0239749
11,1,0.219124,-0.0358796
12,1,0.177106,-0.0322421
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.0972222,-0.00925926
4,-1,0,0
5,-1,0.0847222,-0.00694444
6,-1,0.0118056,0
7,-1,0.0261111,-0.00502646
8,-1,-0.0329167,0.00119048
9,-1,0.0520833,-0.0082672
10,-1,-0.03125,-0.00529101
11,-1,0.0491071,-0.012826
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.0253968,0.0224868
3,1,0.0968254,0.00198413
4,1,-0.0333333,0.0168651
5,1,-0.0162698,0.0198413
6,1,0.0273545,0.00925926
7,1,0.120873,-0.0123016
8,1,0.0744444,-0.0123016
9,1,0.118889,-0.0186508
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0224868
3,-1,0.0638889,-0.00330688
4,-1,-0.116667,0.0248016
5,-1,0.0333333,-0.00132275
6,-1,-0.0405556,0.00727513
7,-1,0.103333,-0.0233333
8,-1,0.0395604,-0.0198413
9,-1,0.114853,-0.0353175
10,-1,-0.00622711,-0.0138889
11,-1,0.0725631,-0.0294312
12,-1,0.0214097,-0.0303288
13,-1,0.0596501,-0.0281085
14,-1,0.0237866,-0.0650628
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,-0.108333,0.00694444
3,-1,0.0111111,-0.00462963
4,-1,-0.0583333,0.010582
5,-1,0.0301587,0.00214947
6,-1,-0.0427579,0.00793651
7,-1,0.0107413,-0.000595238
8,-1,0.0685714,-0.0138889
9,-1,0.0850916,-0.0148148
10,-1,0.0213065,-0.00727513
11,-1,0.0146825,-0.00925926
12,-1,-0.000170068,-0.00493197
13,-1,0.0271825,-0.00952381
14,-1,0.0055102,-0.00351474
15,-1,0.00769231,-0.014059
16,-1,-0.0927885,0.00655864
17,-1,-0.0282585,-0.00262897
18,-1,0.0041336,-0.00562169
19,-1,0.0172568,0.00576105
20,-1,-0.0369691,0.00880811
21,-1,0.053618,-0.00667989
22,-1,0.0507079,-0.0414021
23,-1,0.0185622,0.000811688
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0224868
3,-1,-0.0380952,0.0451389
4,-1,-0.024127,0.0234127
5,-1,-0.00746032,0.0117063
6,-1,0.0373737,0.00410053
7,-1,0.0667388,0.000297619
8,-1,0.0616717,-0.00198413
9,-1,0.0938339,0.000462963
10,-1,-0.0630952,0.0130952
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,-0.00925926
4,1,0.0157407,0
5,1,0.0993717,-0.00843254
6,1,0.00694444,0
7,1,0.0694949,-0.00644841
8,1,0.0593579,-0.00992063
9,1,0.100488,-0.0154762
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,-0.00925926
4,1,0.00648148,0
5,1,0.077381,-0.00843254
6,1,0.0390212,-0.00489418
7,1,0.0508225,-0.00753968
8,1,-0.0101343,-0.0014881
9,1,0.0398657,-0.00446429
10,1,-0.0238815,-0.00212585
11,1,0.0419152,-0.0118481
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0224868
3,-1,0.0968254,0.00198413
4,-1,-0.0169643,0.0124008
5,-1,0.0559524,-0.00562169
