step,winner,endpoint_factor,edge_factor
0,-1,0,0
1,-1,-0.0166667,0
2,-1,-0.126984,0
3,-1,-0.0396825,0
4,-1,-0.136905,0
5,-1,-0.015873,0
6,-1,-0.0186508,0
7,-1,-0.0169643,0.0238095
8,-1,-0.0745238,0.0238095
9,-1,-0.0436508,0.0238095
10,-1,-0.106151,0.0238095
11,-1,-0.0602381,0.0238095
12,-1,-0.0666667,0.0238095
13,-1,-0.025,0.0571429
14,-1,-0.105291,0.0571429
15,-1,-0.0111867,0.0333333
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.222222,0.031746
3,1,0.08125,0.0178571
4,1,-0.0104167,0.0416667
5,1,0.0924603,0.0571429
6,1,2.77556e-17,0.0333333
7,1,0.0125,0.0833333
8,1,-0.0291667,0.0833333
9,1,0.00833333,0.0833333
10,1,-0.0361111,0.0333333
11,1,0.0501852,0.0333333
12,1,0.0386905,0.0333333
13,1,0.0455087,0.0833333
14,1,0.0147547,0.166667
15,1,0.062585,0.333333
16,1,-0.00351474,0.333333
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0178571
3,-1,0.00376984,0.0238095
4,-1,-0.106548,0.0238095
5,-1,0.00687831,0.0571429
6,-1,-0.143939,0.075
7,-1,-0.108225,0.075
8,-1,-0.127929,0.075
9,-1,-0.0834848,0.075
10,-1,-0.126282,0.125
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.0253968,0.0178571
3,1,0.00376984,0.0238095
4,1,-0.113988,0
5,1,0.00171958,0.0333333
6,1,-0.108225,0.075
7,1,0.0142256,0.0571429
8,1,0.0539352,0
9,1,-0.00972222,0.107143
10,1,0.00728114,0.107143
11,1,0.0490981,0.0833333
12,1,0.0133838,0.0833333
13,1,0.0242965,0.0833333
14,1,-0.0485164,0.0833333
15,1,-0.0297278,0.05
16,1,-0.0467312,0.05
0,-1,0,0
1,-1,-0.0166667,0
2,-1,0,0
3,-1,-0.0111111,0
4,-1,-0.0791667,0.0178571
5,-1,0,0
6,-1,-0.0472222,0
7,-1,-0.0222222,0.0238095
8,-1,-0.0348413,0.0238095
9,-1,0.00277778,0.0238095
10,-1,-0.0623016,0.0238095
11,-1,0.0344444,0.0238095
12,-1,-0.0111905,0.0238095
13,-1,0.0345238,0.0238095
14,-1,2.77556e-17,0.0238095
15,-1,0.046131,0.0238095
16,-1,0.034375,0.0238095
17,-1,0.0714665,0.05
18,-1,0.0235498,0.133333
19,-1,0.0754264,0.3
0,1,0,0
1,1,0.0166667,0
2,1,-0.108333,0
3,1,0.0722222,0
4,1,0.0125,0
5,1,0.155556,-0.031746
6,1,0.0666667,-0.0138889
7,1,0.1,-0.031746
8,1,0.0266667,0
9,1,0.0933333,0
10,1,0.0324405,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,0.025,0.0178571
3,-1,0.00376984,0.0238095
4,-1,-0.106548,0.0238095
5,-1,-0.0162698,0.0238095
6,-1,-0.0419048,0.0238095
7,-1,0.0428175,0.0571429
8,-1,-0.119444,0.075
9,-1,-0.0140152,0.075
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,0
4,1,-0.0888889,0.0178571
5,1,-0.0211111,0.0238095
6,1,-0.0666667,0
7,1,-0.00571429,0
8,1,-0.0533333,0
9,1,-0.00810967,0
10,1,-0.0347763,0.0333333
11,1,0.0502134,0.0333333
12,1,-0.0179654,0.0333333
13,1,0.0533309,0.0333333
14,1,-0.00909993,0.0333333
15,1,0.0325667,0
16,1,-0.0197253,-0.0333333
0,-1,0,0
1,-1,-0.0166667,0
2,-1,-0.0555556,0
3,-1,0.0674603,-0.0178571
4,-1,-0.0125,0
5,-1,0.0527778,-0.0178571
6,-1,-0.0805556,0.0238095
7,-1,-0.0277778,0.0238095
8,-1,-0.0615079,0.0238095
9,-1,-0.00694444,0.0571429
10,-1,-0.0143651,0.0333333
11,-1,0.00108225,0.0571429
12,-1,-0.0447691,0.0333333
13,-1,-0.0384921,0.107143
14,-1,-0.0771825,0.107143
15,-1,-0.0355159,0.107143
16,-1,-0.0735863,0.107143
17,-1,-0.037872,0.107143
18,-1,-0.113988,0.190476
19,-1,-0.028125,0.190476
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,0,0
3,1,-0.00357143,0.0238095
4,1,-0.0377976,0.0238095
5,1,0.06875,0.0238095
6,1,0.195833,-0.031746
7,1,0.228651,-0.031746
8,1,0.145317,-0.0178571
9,1,0.197262,-0.0416667
10,1,0.152579,-0.0416667
11,1,0.219124,-0.0416667
12,1,0.177106,-0.0416667
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.0972222,0
4,-1,0,0
5,-1,0.0847222,0
6,-1,0.0118056,0
7,-1,0.0261111,-0.0178571
8,-1,-0.0329167,0
9,-1,0.0520833,0
10,-1,-0.03125,0
11,-1,0.0491071,0
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.0253968,0.0178571
3,1,0.0968254,0.0178571
4,1,-0.0333333,0
5,1,-0.0162698,0
6,1,0.0273545,0
7,1,0.120873,-0.0238095
8,1,0.0744444,-0.0238095
9,1,0.118889,-0.0238095
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0178571
3,-1,0.0638889,0.0178571
4,-1,-0.116667,0.0178571
5,-1,0.0333333,0
6,-1,-0.0405556,-0.0238095
7,-1,0.103333,-0.0888889
8,-1,0.0395604,-0.107143
9,-1,0.114853,-0.107143
10,-1,-0.00622711,-0.107143
11,-1,0.0725631,-0.107143
12,-1,0.0214097,-0.190476
13,-1,0.0596501,-0.107143
14,-1,0.0237866,-0.333333
0,-1,0,0
1,-1,0.0166667,0
2,-1,-0.108333,0
3,-1,0.0111111,0
4,-1,-0.0583333,0.0178571
5,-1,0.0301587,0.0238095
6,-1,-0.0427579,0
7,-1,0.0107413,0
8,-1,0.0685714,-0.0416667
9,-1,0.0850916,-0.0416667
10,-1,0.0213065,-0.0238095
