step,winner,endpoint_factor,edge_factor
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0.0444444,-0.00462963
3,1,0.222222,-0.010582
4,1,0.0833333,-0.010582
0,-1,0,0
1,-1,0.166667,0
2,-1,-0.133333,0.0138889
3,-1,-0.0111111,0.00231481
4,-1,-0.0444444,0
5,-1,0.0666667,-0.00595238
0,1,0,0
1,1,-0.0166667,0.00694444
2,1,-0.0583333,0
3,1,0.105556,-0.00925926
4,1,0.114286,-0.014881
5,1,0.10463,-0.00727513
6,1,0,0
7,1,0.05,-0.00446429
8,1,0.00735931,-0.00674603
0,-1,0,0
1,-1,-0.0166667,0.00694444
2,-1,-0.0583333,0
3,-1,0,0
0,1,0,0
1,1,0.0333333,-0.0178571
2,1,-0.025,-0.00198413
3,1,0.0801587,-0.0115741
4,1,0.0222222,-0.0104167
5,1,0.113889,-0.014881
6,1,0.0666667,-0.0171958
0,-1,0,0
1,-1,-0.0166667,0.00694444
2,-1,-0.0583333,0
3,-1,-0.00555556,0.00231481
4,-1,-0.1,0.0082672
5,-1,-0.0388889,0.010582
0,1,0,0
1,1,0.166667,0
2,1,-0.133333,0.0138889
3,1,-0.105556,0.00925926
4,1,-0.135714,0.00462963
5,1,-0.0722222,0.00462963
6,1,-0.138889,0.0114087
7,1,-0.101667,0.0119048
8,1,-0.150556,0.0119048
9,1,-0.0672222,0.012037
10,1,-0.127262,0.0167659
11,1,-0.0647619,0.0160714
12,1,-0.113095,0.0196429
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,-0.222222,0.010582
3,-1,-0.0833333,0.010582
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.222222,0.010582
3,-1,-0.0854167,0.0114087
4,-1,-0.260417,0.015873
5,-1,0,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.222222,0.010582
3,-1,-0.0833333,0.010582
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,-1,0,0
1,-1,0.166667,0
2,-1,-0.133333,0.0138889
3,-1,-0.134127,0.00925926
4,-1,-0.198611,0.0193452
5,-1,0.00238095,-0.00380291
6,-1,-0.0920635,0.0112434
7,-1,0.0196032,0.00224868
8,-1,-0.032381,0.00224868
9,-1,-0.00420635,0.00605159
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,-0.222222,0.010582
3,-1,-0.0854167,0.0114087
4,-1,-0.260417,0.015873
5,-1,-0.11,0.0154762
6,-1,-0.283333,0.0190476
7,-1,-0.171667,0.0190476
0,1,0,0
1,1,0.166667,0
2,1,0.0444444,-0.00462963
3,1,0.222222,-0.010582
4,1,0.0854167,-0.0114087
5,1,0.260417,-0.015873
6,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0.0444444,-0.00462963
3,1,0.222222,-0.010582
4,1,0.0833333,-0.010582
0,1,0,0
1,1,0.166667,0
2,1,0.0444444,-0.00462963
3,1,0.222222,-0.010582
4,1,0.0833333,-0.010582
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,-0.222222,0.010582
3,-1,-0.0833333,0.010582
0,-1,0,0
1,-1,0.166667,0
2,-1,0.0444444,-0.00462963
3,-1,0.222222,-0.010582
4,-1,-0.08125,0.00595238
5,-1,-0.0416667,0.00793651
6,-1,-0.0555556,0.0026455
7,-1,0.0333333,-0.00347222
8,-1,0.00208333,-0.00505952
9,-1,0.0380952,-0.00277778
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0.0444444,-0.00462963
3,1,0.222222,-0.010582
4,1,0.0833333,-0.010582
0,1,0,0
1,1,0.0333333,-0.0178571
2,1,0.0253968,-0.0224868
3,1,0.0142857,-0.00661376
4,1,-0.0559524,-0.00892857
0,1,0,0
1,1,0.166667,0
2,1,0.0444444,-0.00462963
3,1,0.222222,-0.010582
4,1,-0.08125,0.00595238
5,1,-0.0619048,0.0124008
6,1,-0.0824074,0.00710979
7,1,-0.0199074,0.0115741
8,1,-0.0722222,0.00648148
9,1,0.0462963,2.77556e-17
10,1,-0.047619,0.00529101
0,-1,0,0
1,-1,-0.0166667,0.00694444
2,-1,-0.0583333,0
3,-1,0.0833333,-0.010582
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.222222,0.010582
3,-1,-0.0833333,0.010582
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,-0.222222,0.010582
3,-1,-0.0854167,0.0114087
4,-1,-0.260417,0.015873
5,-1,-0.11,0.0154762
6,-1,-0.283333,0.0190476
7,-1,-0.0555556,0.00793651
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.0333333,-0.0178571
2,1,0.0253968,-0.0224868
3,1,0.0142857,-0.00661376
4,1,-0.0559524,-0.00892857
0,1,0,0
1,1,0.166667,0
2,1,-0.133333,0.0138889
3,1,-0.105556,0.00925926
4,1,-0.136111,0.00925926
5,1,-0.0888889,0.00925926
6,1,-0.155556,0.0152116
7,1,-0.111806,0.0137235
8,1,-0.150873,0.0100529
9,1,-0.0675397,0.00899471
10,1,-0.09375,0.0138889
11,1,0.0116667,0.00694444
12,1,-0.0625,0.0104167
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0.0444444,-0.00462963
3,1,0.222222,-0.010582
4,1,0.0854167,-0.0114087
5,1,0.260417,-0.015873
6,1,0.135417,-0.015873
0,1,0,0
1,1,-0.0166667,0.00694444
2,1,-0.0583333,0
3,1,0.105556,-0.00925926
4,1,0.129167,-0.0104167
5,1,0.111806,-0.00578704
6,1,0,0
7,1,0.0439394,0
8,1,0.00893939,-0.00138889
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.222222,0.010582
3,-1,-0.0854167,0.0114087
4,-1,-0.260417,0.015873
5,-1,-0.135417,0.015873
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
